aldur,kjordaemi,n_kjosendur
18-29,Norðaustur,4146
18-29,Norðvestur,3231
18-29,Reykjavík Norður,6740
18-29,Reykjavík Suður,6904
18-29,Suður,5336
18-29,Suðvestur,10807
30-39,Norðaustur,3487
30-39,Norðvestur,2584
30-39,Reykjavík Norður,6305
30-39,Reykjavík Suður,5929
30-39,Suður,4503
30-39,Suðvestur,9511
40-49,Norðaustur,3666
40-49,Norðvestur,2780
40-49,Reykjavík Norður,5871
40-49,Reykjavík Suður,6059
40-49,Suður,4745
40-49,Suðvestur,10658
50-59,Norðaustur,4402
50-59,Norðvestur,3138
50-59,Reykjavík Norður,5897
50-59,Reykjavík Suður,5822
50-59,Suður,5420
50-59,Suðvestur,10208
60+,Norðaustur,7170
60+,Norðvestur,5841
60+,Reykjavík Norður,9397
60+,Reykjavík Suður,9863
60+,Suður,8902
60+,Suðvestur,16022
