date,fyrirtaeki,flokkur,n
2024-10-01,Maskína,Samfylkingin,388.068
2024-10-01,Maskína,Miðflokkurinn,313.644
2024-10-01,Maskína,Viðreisn,237.448
2024-10-01,Maskína,Sjálfstæðisflokkurinn,249.85199999999998
2024-10-01,Maskína,Framsóknarflokkurinn,141.76
2024-10-01,Maskína,Píratar,92.14399999999999
2024-10-01,Maskína,Flokkur Fólksins,129.356
2024-10-01,Maskína,Sósíalistaflokkurinn,92.14399999999999
2024-10-01,Maskína,Vinstri Græn,90.372
2024-10-01,Maskína,Annað,37.212
2024-09-01,Maskína,Samfylkingin,250
2024-09-01,Maskína,Miðflokkurinn,170
2024-09-01,Maskína,Viðreisn,110
2024-09-01,Maskína,Sjálfstæðisflokkurinn,130
2024-09-01,Maskína,Framsóknarflokkurinn,80
2024-09-01,Maskína,Píratar,80
2024-09-01,Maskína,Flokkur Fólksins,90
2024-09-01,Maskína,Sósíalistaflokkurinn,50
2024-09-01,Maskína,Vinstri Græn,40
2024-09-01,Maskína,Annað,0
2024-10-01,Prósent,Samfylkingin,248
2024-10-01,Prósent,Miðflokkurinn,151
2024-10-01,Prósent,Viðreisn,141
2024-10-01,Prósent,Sjálfstæðisflokkurinn,151
2024-10-01,Prósent,Framsóknarflokkurinn,62
2024-10-01,Prósent,Píratar,61
2024-10-01,Prósent,Flokkur Fólksins,108
2024-10-01,Prósent,Sósíalistaflokkurinn,42
2024-10-01,Prósent,Vinstri Græn,22
2024-10-01,Prósent,Annað,0
