date,pollster,election_year,party_letter,party_name,pct,seats,n,source_url,notes
2022-05-10,Fréttablaðið,2022,B,Framsóknarflokkur,12.4,3,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-10,Fréttablaðið,2022,C,Viðreisn,7.0,1,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-10,Fréttablaðið,2022,D,Sjálfstæðisflokkur,16.2,4,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-10,Fréttablaðið,2022,F,Flokkur fólksins,4.2,1,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-10,Fréttablaðið,2022,J,Sósíalistaflokkur,7.7,2,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-10,Fréttablaðið,2022,M,Miðflokkur,1.7,0,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-10,Fréttablaðið,2022,P,Píratar,17.9,4,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-10,Fréttablaðið,2022,S,Samfylking,26.7,7,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-10,Fréttablaðið,2022,V,Vinstri græn,5.4,1,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-10,Fréttablaðið,2022,Y,Ábyrg framtíð,0.6,0,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-10,Fréttablaðið,2022,E,"Reykjavík, besta borgin",0.4,0,,https://kosningasaga.wordpress.com/2022/05/10/skodanakonnun-i-reykjavik-5/,
2022-05-11,Maskína,2022,B,Framsóknarflokkur,11.3,3,,https://kosningasaga.wordpress.com/2022/05/12/skodanakonnun-i-reykjavik-7/,Conducted for Stöð 2; reported 12 May
2022-05-11,Maskína,2022,C,Viðreisn,7.5,2,,https://kosningasaga.wordpress.com/2022/05/12/skodanakonnun-i-reykjavik-7/,
2022-05-11,Maskína,2022,D,Sjálfstæðisflokkur,21.8,5,,https://kosningasaga.wordpress.com/2022/05/12/skodanakonnun-i-reykjavik-7/,
2022-05-11,Maskína,2022,E,"Reykjavík, besta borgin",1.5,0,,https://kosningasaga.wordpress.com/2022/05/12/skodanakonnun-i-reykjavik-7/,
2022-05-11,Maskína,2022,F,Flokkur fólksins,5.0,1,,https://kosningasaga.wordpress.com/2022/05/12/skodanakonnun-i-reykjavik-7/,
2022-05-11,Maskína,2022,J,Sósíalistaflokkur,7.5,2,,https://kosningasaga.wordpress.com/2022/05/12/skodanakonnun-i-reykjavik-7/,
2022-05-11,Maskína,2022,M,Miðflokkur,3.3,0,,https://www.visir.is/g/20222261216d,Conducted for Stöð 2; per Vísir direct source
2022-05-11,Maskína,2022,P,Píratar,13.3,3,,https://kosningasaga.wordpress.com/2022/05/12/skodanakonnun-i-reykjavik-7/,
2022-05-11,Maskína,2022,S,Samfylking,22.7,6,,https://kosningasaga.wordpress.com/2022/05/12/skodanakonnun-i-reykjavik-7/,
2022-05-11,Maskína,2022,V,Vinstri græn,4.6,1,,https://kosningasaga.wordpress.com/2022/05/12/skodanakonnun-i-reykjavik-7/,
2022-05-11,Maskína,2022,Y,Ábyrg framtíð,1.8,0,,https://kosningasaga.wordpress.com/2022/05/12/skodanakonnun-i-reykjavik-7/,
2022-05-13,Maskína,2022,B,Framsóknarflokkur,14.6,4,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,Fielded 12-13 May 2022
2022-05-13,Maskína,2022,C,Viðreisn,5.4,1,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,
2022-05-13,Maskína,2022,D,Sjálfstæðisflokkur,20.5,,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,Pair gives 5-6 seats
2022-05-13,Maskína,2022,F,Flokkur fólksins,6.5,1,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,Corrected from attribution swap
2022-05-13,Maskína,2022,J,Sósíalistaflokkur,6.3,1,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,
2022-05-13,Maskína,2022,M,Miðflokkur,3.5,0,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,Corrected from attribution swap
2022-05-13,Maskína,2022,P,Píratar,14.5,,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,Corrected from attribution swap
2022-05-13,Maskína,2022,S,Samfylking,22.8,6,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,Corrected
2022-05-13,Maskína,2022,V,Vinstri græn,4.2,1,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,Range 4.2-4.6
2022-05-13,Maskína,2022,Y,Ábyrg framtíð,1.2,0,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,
2022-05-13,Maskína,2022,E,"Reykjavík, besta borgin",0.6,0,660,https://www.mbl.is/frettir/kosning/2022/05/13/meirihlutinn_heldur_samkvaemt_konnun_maskinu/,
2022-05-13,Gallup,2022,B,Framsóknarflokkur,17.5,4,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Fielded 9-13 May 2022; n=valid responses
2022-05-13,Gallup,2022,C,Viðreisn,6.0,1,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,
2022-05-13,Gallup,2022,D,Sjálfstæðisflokkur,21.5,,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from 21.8
2022-05-13,Gallup,2022,F,Flokkur fólksins,3.6,1,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from attribution swap
2022-05-13,Gallup,2022,J,Sósíalistaflokkur,6.9,1,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,
2022-05-13,Gallup,2022,M,Miðflokkur,2.0,0,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from attribution swap
2022-05-13,Gallup,2022,P,Píratar,13.2,,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from attribution swap
2022-05-13,Gallup,2022,S,Samfylking,24.0,6,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from 22.8
2022-05-13,Gallup,2022,V,Vinstri græn,4.5,1,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Range 4.2-4.6
2022-05-13,Gallup,2022,Y,Ábyrg framtíð,0.6,0,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from 1.8
