date,fyrirtaeki,n,D,S,A,M,C,B,J,F,P,G,O
2025-09-30,Maskína,900,24.8,28.1,5.5,7.1,14.9,3.4,3.9,4.6,6.7,0.0,1.0
2025-10-31,Maskína,900,25.4,26.0,3.8,8.5,13.3,3.9,6.1,5.2,7.1,0.0,0.7
2025-11-30,Maskína,900,31.0,25.5,4.2,8.5,11.9,4.4,5.0,2.9,6.4,0.0,0.3
2025-12-31,Maskína,900,24.1,26.7,5.3,10.0,12.1,4.5,5.5,4.8,6.3,0.0,0.6
2026-01-31,Maskína,900,24.4,26.1,8.7,10.1,14.6,4.4,3.8,3.8,3.0,0.0,1.0
2026-02-27,Maskína,1015,22.7,24.0,9.1,11.0,13.5,5.1,3.7,3.4,5.5,0.0,1.8
2026-03-19,Maskína,1442,21.2,21.7,12.4,10.6,12.6,5.2,2.7,3.7,5.4,0.0,4.4
2026-04-15,Gallup,634,27.6,23.2,13.5,10.7,10.0,3.9,2.5,3.8,3.5,0.0,1.5
2026-05-06,Maskína,700,27.9,18.0,13.2,6.7,12.6,5.7,5.1,2.8,4.9,1.4,1.6
2026-05-12,Maskína,1511,28.0,19.9,11.8,9.3,11.6,5.9,3.2,4.1,4.2,1.0,1.0
2026-05-15,Gallup,800,31.3,21.5,11.3,10.9,9.8,4.7,4.8,2.3,2.3,0.6,0.4
2026-05-15,Maskína,2950,31.3,19.4,11.0,9.8,12.0,6.1,4.5,2.6,2.4,0.5,0.5
